threads,iterations,accounts,duration
4,100,10,0
4,100,100,0
4,100,1000,1
4,1000,10,1
4,1000,100,1
4,1000,1000,8
4,10000,10,11
4,10000,100,13
4,10000,1000,91
4,100000,10,104
4,100000,100,135
4,100000,1000,863
4,1000000,10,1012
4,1000000,100,1296
4,1000000,1000,8591
12,100,10,0
12,100,100,0
12,100,1000,2
12,1000,10,3
12,1000,100,4
12,1000,1000,17
12,10000,10,34
12,10000,100,44
12,10000,1000,163
12,100000,10,343
12,100000,100,446
12,100000,1000,1647
12,1000000,10,3450
12,1000000,100,4583
12,1000000,1000,16859
24,100,10,0
24,100,100,0
24,100,1000,3
24,1000,10,7
24,1000,100,9
24,1000,1000,27
24,10000,10,71
24,10000,100,94
24,10000,1000,275
24,100000,10,703
24,100000,100,963
24,100000,1000,2714
24,1000000,10,7075
24,1000000,100,9643
24,1000000,1000,27206
