Threads,numSeq,Time
1,10,43398091
1,20,43867018
1,30,44482753
1,40,45030932
1,50,44831446
1,60,45286500
1,70,44422115
1,80,45212759
1,90,44837907
1,100,45992391
1,110,45318422
1,120,46620547
1,130,44437715
1,140,45402737
1,150,44791221
1,160,46419135
1,170,45304116
1,180,45979981
1,190,45356442
1,200,47126992
2,10,72768379
2,20,57308125
2,30,50304836
2,40,46894134
2,50,48056628
2,60,42260999
2,70,41856689
2,80,42269044
2,90,38767548
2,100,39407419
2,110,37886814
2,120,38590114
2,130,36444370
2,140,36623657
2,150,35888316
2,160,36973318
2,170,34910268
2,180,35994941
2,190,34605116
2,200,35460329
4,10,74017130
4,20,52756349
4,30,42955652
4,40,40383110
4,50,43654768
4,60,33277948
4,70,34653125
4,80,34562987
4,90,30800342
4,100,30539961
4,110,29103038
4,120,28928291
4,130,27270059
4,140,26857610
4,150,26030714
4,160,27041135
4,170,24599342
4,180,26305203
4,190,24434522
4,200,24761780
8,10,77789466
8,20,51964373
8,30,39651169
8,40,37654570
8,50,36464884
8,60,27705154
8,70,31416242
8,80,30587221
8,90,24726545
8,100,26032327
8,110,24392526
8,120,23206635
8,130,22297344
8,140,21522241
8,150,20670048
8,160,21355625
8,170,19039509
8,180,20173199
8,190,18748323
8,200,18694585
12,10,78945921
12,20,51045966
12,30,37206450
12,40,34328677
12,50,32716323
12,60,25336340
12,70,28324713
12,80,26836960
12,90,21048903
12,100,23299719
12,110,21754958
12,120,20312451
12,130,19905720
12,140,19114120
12,150,18309859
12,160,18629666
12,170,16849874
12,180,17702394
12,190,16502501
12,200,16233969
16,10,79505820
16,20,49757647
16,30,36320121
16,40,32521648
16,50,30600585
16,60,23684081
16,70,26549561
16,80,24818642
16,90,19340218
16,100,21508648
16,110,20265705
16,120,18396680
16,130,18433244
16,140,17631965
16,150,16933145
16,160,16789737
16,170,15559507
16,180,15841070
16,190,15087239
16,200,14632228
2,300,33488613
2,400,33939881
2,500,32139484
4,300,21965325
4,400,22129436
4,500,20222797
8,300,16230319
8,400,15415645
8,500,13629276
12,300,14105886
12,500,11770513
16,300,12392945
16,400,11484987
16,500,10474073
24,300,12441544
24,400,11560013
24,500,10513173
24,1400,8342600
24,10000,7396013

